endpoint,id,type,field,chars,russian_text
career-values,4,,title,27,Что означает название Deya?
career-values,5,,title,13,Ценности Deya
career-values,6,,title,22,Корпоративная культура
career-values,7,,title,23,Социальная деятельность
timeline,6,,title,12,История Deya
timeline,6,,description,263,"Всё началось с маленькой печи и мечты. Сегодня Deya — один из лидеров кондитерской отрасли Узбекистана, чей вкус знают и любят во многих странах мира. За 30 лет мы прошли путь от 12 м² до международного бренда, сохранив главное — душу, тепло и верность качеству."
timeline,3,,title,32,Первое оборудование и сотрудники
timeline,3,,description,352,"Только спустя 2 года появилась возможность приобрести тестомес и нанять первых сотрудников. После этого появился командный дух, а в воздухе витал запах свежеиспечённого хлеба и новых возможностей. Спустя еще год принимаем решение производить кондитерские изделия, ассортимент был не большой (печенье, булочные изделия), территория производства 70 м²."
timeline,7,,title,35,Первые продажи за пределами Джизака
timeline,7,,description,144,"Продукция поехала в Ташкент, на оптовый рынок Урикзор. Маленькая команда наблюдала за первыми заказами с замиранием сердца. Это был большой шаг."
timeline,5,,title,25,Рост и команда 30 человек
timeline,5,,description,164,"Территория — 600 м², производство — 200 м², работало 30 человек. Начинаем производить хлебобулочные изделия, кондитерские изделия. То, что скоро полюбит вся страна."
timeline,8,,title,9,Рост DEYA
timeline,8,,description,280,"Принимаем решение расшириться, приобрели еще 600 м², теперь производство составляло 500 м² и работало 50 сотрудников. Новое здание, больше людей, больше забот. Deya росла. Джизак, Ташкент — и вот уже ближайшие области. Продукция Deya стала появляться всё дальше и дальше от дома."
timeline,4,,title,18,Запуск дистрибуции
timeline,4,,description,96,Новый этап: компания расширяет штат до 100 сотрудников и увеличивает объёмы до 100 тонн в месяц.
timeline,2,,title,13,Большой рывок
timeline,2,,description,95,"Производство 3000 м², 200 человек, 500 тонн в месяц. Deya покрыла дистрибуцией весь Узбекистан."
timeline,9,,title,26,Первый упакованный продукт
timeline,9,,description,46,Компания запускает первый упакованный продукт.
timeline,10,,title,19,Ещё один шаг вперёд
timeline,10,,description,108,"Добавилось 1700 м², 70 рабочих мест, 750–800 тонн в месяц. Фабрика становилась мощнее, команда — сплочённее."
timeline,11,,title,21,Экспорт: первый успех
timeline,11,,description,106,"$700 000 — экспортные продажи. Deya выходит на мировую арену, начинает свой путь за пределами Узбекистана."
timeline,12,,title,22,Рождение нового завода
